"","id","name","screen_name","Potential_Climate_Denial"
"1055",730783580578824192,"Bernie Sanders","SenSanders","0"
"1056",738360329898491904,"Bernie Sanders","SenSanders","0"
"1057",741803490910081024,"Bernie Sanders","SenSanders","0"
"1058",722076905223155712,"David Cicilline","RepCicilline","0"
"1059",723594754705879040,"Governor Kate Brown","OregonGovBrown","0"
"1060",723664659769905152,"Sheldon Whitehouse","SenWhitehouse","0"
"1061",740252189361352704,"Sheldon Whitehouse","SenWhitehouse","0"
"1062",720252306466451456,"Jim Inhofe","JimInhofe","0"
"1063",723580490742128640,"Steny Hoyer","WhipHoyer","0"
"1064",738155643073241088,"Governor Kate Brown","OregonGovBrown","0"
"1065",728303515140018176,"Rep. Dan Kildee","RepDanKildee","0"
"1066",731135854081671168,"Niki Tsongas","nikiinthehouse","0"
"1067",733033040583217152,"Bernie Sanders","SenSanders","0"
"1068",735854951692439552,"Mark DeSaulnier","RepDeSaulnier","0"
"1069",724305562737991680,"Rep. Frank Pallone","FrankPallone","0"
"1070",735228414823694336,"Sheldon Whitehouse","SenWhitehouse","0"
"1071",739866141959593984,"Paul Tonko","RepPaulTonko","0"
"1072",726151832637198336,"Steve King","SteveKingIA","0"
"1073",727575253052952576,"TeamMoulton","teammoulton","0"
"1074",736265874382917632,"Senator Ted Cruz","SenTedCruz","0"
"1075",739596253646950400,"Congressman Ami Bera","RepBera","0"
"1076",720671358196322304,"Rep. Ted Lieu","RepTedLieu","0"
"1077",727617097367425024,"Senator Jeff Merkley","SenJeffMerkley","0"
"1078",720250633522192384,"Jim Inhofe","JimInhofe","0"
"1079",723557130297442304,"Rep. Lois Frankel","RepLoisFrankel","0"
"1080",723597302405935104,"Rep.Grace Napolitano","gracenapolitano","0"
"1081",723606973422440448,"TeamMoulton","teammoulton","0"
"1082",730158594667229184,"Senator Jeff Merkley","SenJeffMerkley","0"
"1083",723572717862137856,"Bill Foster","RepBillFoster","0"
"1084",723586955481628672,"Albio Sires","RepSires","0"
"1085",733042132739559424,"Rep. Ted Lieu","RepTedLieu","0"
"1086",722787080254783488,"Sen. Maria Cantwell","SenatorCantwell","0"
"1087",725419214903857152,"Rep. Hank Johnson","RepHankJohnson","0"
"1088",722774598513782784,"Rep. Ted Deutch","RepTedDeutch","0"
"1089",723662803723153408,"Rep. Cheri Bustos","RepCheri","0"
"1090",726097534481997824,"Bill Foster","RepBillFoster","0"
"1091",735517770587222016,"Rep. Steve Scalise","SteveScalise","0"
"1092",741312123184283648,"Paul Tonko","RepPaulTonko","0"
"1093",747857260848779264,"Terry McAuliffe","GovernorVA","0"
"1094",735848472050606080,"Senator Ted Cruz","SenTedCruz","0"
"1095",727143038921904128,"Mike Quigley","RepMikeQuigley","0"
"1096",742772547196997632,"Congressman Ken Buck","RepKenBuck","0"
"1097",750719424538218496,"US Rep Kathy Castor","USRepKCastor","0"
"1098",727618317159157760,"Senator Jeff Merkley","SenJeffMerkley","0"
"1099",729681479765250048,"David Cicilline","RepCicilline","0"
"1100",741330789460287488,"Earl Blumenauer","repblumenauer","0"
"1101",747865201467400192,"Sheldon Whitehouse","SenWhitehouse","0"
"1102",725417578898808832,"Rep. Scott Peters","RepScottPeters","0"
"1103",730897925686083584,"Sheldon Whitehouse","SenWhitehouse","0"
"1104",738424190462758912,"Bernie Sanders","SenSanders","0"
